seed,query_idx,query_sample_id,candidate_contract_id,candidate_dac_rank,candidate_token_len,candidate_bucket,gate_weight_g,dac_score,trunc_score,window_score,code_preview,rank_trunc
123,176,378,348,1,472,short,0.5168894529342651,0.052536774426698685,0.9029693603515625,0.8938043713569641,pragma solidity ^0.4.17;  contract owned {     address public owner;              function owned() {         owner=msg.sender;     }      modifier onlyowner{         if (msg.sender!=owner)             throw;         _;     } }  contract MyNewBank is owned {     address public owner;     mapping (address=>uint) public deposits;          function init() {         owner=msg.sender;     }          fun,1
123,176,378,414,2,4528,medium,0.40375906229019165,0.04244254529476166,0.8830819129943848,0.9186304807662964,"pragma solidity ^0.4.18;   /**  * Math operations with safety checks  */ library SafeMath {   function mul(uint a, uint b) pure internal returns (uint) {     uint c = a * b;     assert(a == 0 || c / a == b);     return c;   }    function div(uint a, uint b) pure internal returns (uint) {     // assert(b > 0); // Solidity automatically throws when dividing by 0     uint c = a / b;     // assert(a =",2
123,176,378,438,3,1349,short,0.43067649006843567,0.034160807728767395,0.8804447054862976,0.8931853771209717,"pragma solidity ^0.4.17;  contract Base {      // Use safe math additions for extra security      function mul(uint256 a, uint256 b) internal constant returns (uint256) {     uint256 c = a * b;     assert(a == 0 || c / a == b);     return c;   }    function div(uint256 a, uint256 b) internal constant returns (uint256) {     assert(b > 0); // Solidity automatically throws when dividing by 0     uin",3
123,176,378,410,4,2405,medium,0.420344740152359,0.03363782912492752,0.8543701171875,0.9211592078208923,"pragma solidity ^0.4.25;  contract owned {     address public owner;      function owned() public {         owner = msg.sender;     }      modifier onlyOwner {         require(msg.sender == owner);         _;     }      function transferOwnership(address newOwner) onlyOwner public {         owner = newOwner;     } }  interface tokenRecipient { function receiveApproval(address _from, uint256 _value",11
123,176,378,354,5,1011,short,0.37168025970458984,0.030820000916719437,0.8309580087661743,0.9240331649780273,pragma solidity ^0.4.13;               contract CentraWhiteList {         using SafeMath for uint;          address public owner;       uint public operation;       mapping(uint => address) public operation_address;       mapping(uint => uint) public operation_amount;                   // Functions with this modifier can only be executed by the owner       modifier onlyOwner() {           if (msg.,17
123,176,378,43,6,5847,medium,0.4300347566604614,0.02904079481959343,0.8725104331970215,0.8847931027412415,"pragma solidity ^0.4.25;  library SafeMath {      function mul(uint256 _a, uint256 _b) internal pure returns (uint256) {         if (_a == 0) {             return 0;         }          uint256 c = _a * _b;         require(c / _a == _b);          return c;     }      function div(uint256 _a, uint256 _b) internal pure returns (uint256) {         require(_b > 0);         uint256 c = _a / _b;         ",5
123,176,378,120,7,1350,short,0.45841512084007263,0.0285881869494915,0.8756681680679321,0.8684630393981934,"pragma solidity 0.4.21;  contract ERC20Interface {     function totalSupply() public constant returns (uint256);     function balanceOf(address tokenOwner) public constant returns (uint256 balance);     function allowance(address tokenOwner, address spender) public constant returns (uint256 remaining);     function transfer(address to, uint256 tokens) public returns (bool success);     function ap",4
123,176,378,378,8,3319,medium,0.3359021246433258,0.027906225994229317,0.7438673973083496,0.9276315569877625,"/**  * Copyright 2017–2019, bZeroX, LLC. All Rights Reserved.  * Licensed under the Apache License, Version 2.0.  */   pragma solidity 0.5.2;   /**  * @title Ownable  * @dev The Ownable contract has an owner address, and provides basic authorization control  * functions, this simplifies the implementation of ""user permissions"".  */ contract Ownable {   address public owner;     event OwnershipReno",56
123,176,378,319,9,15119,long,0.4318992495536804,0.027332386001944542,0.8680169582366943,0.8843028545379639,"pragma solidity 0.5.17;  library SafeMath { // wrappers over solidity arithmetic operations with added overflow checks     function add(uint256 a, uint256 b) internal pure returns (uint256) {         uint256 c = a + b;         require(c >= a);          return c;     }          function sub(uint256 a, uint256 b) internal pure returns (uint256) {         require(b <= a);         uint256 c = a - b;  ",7
123,176,378,338,10,374,short,0.5146415829658508,0.02696019597351551,0.8698931932449341,0.8599401712417603,pragma solidity ^0.4.24;   contract Controlled {      address public controller;      constructor() public {         controller = msg.sender;     }      function changeController(address _newController) public only_controller {         controller = _newController;     }          function getController() constant public returns (address) {         return controller;     }      modifier only_control,6
123,176,378,343,11,13322,long,0.40430203080177307,0.025628793984651566,0.8460031747817993,0.9039785861968994,"pragma solidity ^0.4.24;  /*  ETHEREUM WORLD CUP : 14th June - 15th July 2018 [Russia]     - designed and implemented by Norsefire.     - thanks to Etherguy and oguzhanox for debugging and front-end respectively.  Rules are as follows:     * Entry to the game costs 0.2018 Ether. Use the register function when sending this.         - Any larger or smaller amount of Ether, will be rejected.     * 90",14
123,176,378,159,12,9417,long,0.40528857707977295,0.023149307817220688,0.85572350025177,0.8846981525421143,"/**  *Submitted for verification at Etherscan.io on 2020-07-10 */  // SPDX-License-Identifier: MIT  pragma solidity 0.6.12;   /**  * @dev Wrappers over Solidity's arithmetic operations with added overflow  * checks.  *  * Arithmetic operations in Solidity wrap on overflow. This can easily result  * in bugs, because programmers usually assume that an overflow raises an  * error, which is the standa",10
123,176,378,425,13,559,short,0.3689190447330475,0.0226911511272192,0.8141037821769714,0.9090811610221863,"// Fixed Pandemica bug and increase dividend rate to 3.3% // Исправлена ошибка Pandemica и повышалась ставка дивидендов до 3,3%  pragma solidity ^0.4.24;  contract Contagion {     struct _Tx {         address txuser;         uint txvalue;     }     _Tx[] public Tx;     uint public counter;      address owner;       modifier onlyowner     {         if (msg.sender == owner)         _;     }     cons",24
123,176,378,58,14,8834,long,0.415955513715744,0.021390892565250397,0.8568016290664673,0.872174859046936,"pragma solidity ^0.4.13;  library SafeMath {    /**   * @dev Multiplies two numbers, throws on overflow.   */   function mul(uint256 a, uint256 b) internal pure returns (uint256) {     if (a == 0) {       return 0;     }     uint256 c = a * b;     assert(c / a == b);     return c;   }    /**   * @dev Integer division of two numbers, truncating the quotient.   */   function div(uint256 a, uint256 b",8
